dimension,sitc2,score,sitc2_label
2,41,1.13234895159857,41 - Animal oils and fats
2,42,3.8492798497027,42 - Fixed vegetable oils and fats
2,43,0.491842246063958,"43 - Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
2,51,6.3963632698145,51 - Organic chemicals
2,11,23.3056287231731,11 - Beverages
2,12,5.41254977444659,12 - Tobacco and tobacco manufactures
2,27,3.60542525253138,"27 - Crude fertilizer and crude minerals (excluding coal, petroleum and precious stones)"
2,66,21.4135129520731,"66 - Non-metallic mineral manufactures, n.e.s."
2,28,46.9628474833906,28 - Metalliferous ores and metal scrap
2,32,7.44733327985988,"32 - Coal, coke and briquettes"
2,34,70.5523431880263,"34 - Gas, natural and manufactured"
2,33,160.054104654834,"33 - Petroleum, petroleum products and related materials"
2,35,28.6887450290635,35 - Electric current
2,52,6.63318254112272,52 - Inorganic chemicals
2,68,21.5690210473732,68 - Non-ferrous metals
2,54,28.8927062510034,54 - Medicinal and pharmaceutical products
2,89,32.1372795988522,"89 - Miscellaneous manufactured articles, n.e.s."
2,56,8.61764232006333,"56 - Fertilizers, manufactured"
2,53,7.57643347131624,"53 - Dyeing, tanning and colouring materials"
2,55,16.6650453906105,55 - Oils and perfume materials; toilet and cleansing preparations
2,57,0.196841991870815,57 - Explosives and pyrotechnic products
2,88,3.24796272050148,"88 - Photographic equipment and supplies and optical goods, n.e.s.; watches and clocks"
2,87,8.76144539692016,"87 - Professional, scientific and controlling instruments and apparatus, n.e.s."
2,84,19.5843876362687,84 - Articles of apparel and clothing accessories
2,23,9.30020162910518,23 - Crude rubber (including synthetic and reclaimed)
2,62,13.1454683563649,"62 - Rubber manufactures, n.e.s."
2,21,0.198966003927297,"21 - Hides, skins and furskins, raw"
2,61,0.341120645937296,"61 - Leather, leather manufactures, n.e.s., and dressed furskins"
2,83,1.66711881300684,"83 - Travel goods, handbags and similar containers"
2,24,7.20762868719431,24 - Cork and wood
2,63,8.77408872954726,"63 - Cork and wood, cork manufactures (excluding furniture)"
2,64,17.77233650773,"64 - Paper, paperboard, and articles of pulp, of paper or of paperboard"
2,65,12.8297421092725,"65 - Textile yarn, fabrics, made-up articles, n.e.s., and related products"
2,25,0.0194513044865613,25 - Pulp and waste paper
2,77,45.7249209533791,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
2,85,10.7619038507264,85 - Footwear
2,81,4.6217526825508,"81 - Sanitary, plumbing, heating, lighting fixtures and fittings, n.e.s."
2,97,2.59531043755887,"97 - Gold, non-monetary (excluding gold ores and concentrates)"
2,96,0.135104793279539,"96 - Coin (other than gold coin), not being legal tender"
2,67,37.1796283317817,67 - Iron and steel
2,69,27.4604906652894,"69 - Manufactures of metals, n.e.s."
2,72,24.4592005618948,72 - Machinery specialized for particular industries
2,71,7.32139521368446,71 - Power generating machinery and equipment
2,74,28.6851709820427,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
2,75,16.5695744246973,75 - Office machines and automatic data processing equipment
2,73,2.10303591835132,73 - Metalworking machinery
2,76,31.1424199109068,"76 - Telecommunications, sound recording and reproducing equipment"
2,79,45.5574788421829,79 - Other transport equipment
2,78,68.3563109022724,78 - Road vehicles (including air-cushion vehicles)
2,95,2.518292919459,"95 - Armoured fighting vehicles, war firearms, ammunition, parts, n.e.s."
2,82,14.7393128577402,82 - Furniture and parts thereof
3,00,0.0632774031004624,00 - Live animals chiefly for food
3,94,1.77635683940025e-15,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
3,01,3.12240373575854,01 - Meat and meat preparations
3,03,0.00260044573146888,"03 - Fish, crustacean and molluscs, and preparations thereof"
3,02,1.07633625440692,02 - Dairy products and birds' eggs
3,06,0.0485153428489154,"06 - Sugar, sugar preparations and honey"
3,09,2.10705238108979,09 - Miscellaneous edible products and preparations
3,29,3.53303641950784,"29 - Crude animal and vegetable materials, n.e.s."
3,05,0.979102333654406,05 - Vegetables and fruit
3,07,0.506988705515076,"07 - Coffee, tea, cocoa, spices, and manufactures thereof"
3,04,0.471407109459763,04 - Cereals and cereal preparations
3,59,2.19306715037527,"59 - Chemical materials and products, n.e.s."
3,22,0.0169443822442022,22 - Oil seeds and oleaginous fruit
3,08,2.35797425997947,08 - Feeding stuff for animals (not including unmilled cereals)
3,58,9.47240863251735,"58 - Artificial resins and plastic materials, and cellulose esters and ethers"
3,26,0.00614757400186038,26 - Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)
3,41,1.33226762955019e-15,41 - Animal oils and fats
3,42,0.00720035457272369,42 - Fixed vegetable oils and fats
3,43,2.22044604925031e-15,"43 - Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
3,51,0.807914965559531,51 - Organic chemicals
3,11,0.74844174787716,11 - Beverages
3,12,1.77635683940025e-15,12 - Tobacco and tobacco manufactures
3,27,1.26396697267332,"27 - Crude fertilizer and crude minerals (excluding coal, petroleum and precious stones)"
3,66,31.6596134799609,"66 - Non-metallic mineral manufactures, n.e.s."
3,28,0.00304269696289706,28 - Metalliferous ores and metal scrap
3,32,1.77635683940025e-15,"32 - Coal, coke and briquettes"
3,34,0.323214888404528,"34 - Gas, natural and manufactured"
3,33,1.18417519084824,"33 - Petroleum, petroleum products and related materials"
3,35,2.22044604925031e-16,35 - Electric current
