dimension,sitc2,score,sitc2_label
2,08,13.674791399425,08 - Feeding stuff for animals (not including unmilled cereals)
2,58,100.819665192796,"58 - Artificial resins and plastic materials, and cellulose esters and ethers"
2,26,6.87464908967745,26 - Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)
2,41,0.309162573208717,41 - Animal oils and fats
2,42,14.8591635766361,42 - Fixed vegetable oils and fats
2,43,2.33129724494233,"43 - Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
2,51,30.6511483295589,51 - Organic chemicals
2,11,22.2340677060169,11 - Beverages
2,12,16.8145168186057,12 - Tobacco and tobacco manufactures
2,27,10.982273079446,"27 - Crude fertilizer and crude minerals (excluding coal, petroleum and precious stones)"
2,66,71.5774601512891,"66 - Non-metallic mineral manufactures, n.e.s."
2,28,65.1083343676488,28 - Metalliferous ores and metal scrap
2,32,15.4800861039424,"32 - Coal, coke and briquettes"
2,34,4.47679779094147,"34 - Gas, natural and manufactured"
2,33,16.5726519336075,"33 - Petroleum, petroleum products and related materials"
2,35,27.2475572389723,35 - Electric current
2,52,18.0645449781649,52 - Inorganic chemicals
2,68,128.315194020299,68 - Non-ferrous metals
2,54,83.5854268869877,54 - Medicinal and pharmaceutical products
2,89,127.03992903561,"89 - Miscellaneous manufactured articles, n.e.s."
2,56,14.0369075354884,"56 - Fertilizers, manufactured"
2,53,18.3124280218431,"53 - Dyeing, tanning and colouring materials"
2,55,43.4425987741221,55 - Oils and perfume materials; toilet and cleansing preparations
2,57,0.871021968022521,57 - Explosives and pyrotechnic products
2,88,11.567170844281,"88 - Photographic equipment and supplies and optical goods, n.e.s.; watches and clocks"
2,87,43.7779732445735,"87 - Professional, scientific and controlling instruments and apparatus, n.e.s."
2,84,122.569818769853,84 - Articles of apparel and clothing accessories
2,23,12.6410093166682,23 - Crude rubber (including synthetic and reclaimed)
2,62,80.119030713133,"62 - Rubber manufactures, n.e.s."
2,21,1.77359352885853,"21 - Hides, skins and furskins, raw"
2,61,14.305812277998,"61 - Leather, leather manufactures, n.e.s., and dressed furskins"
2,83,9.10946022560289,"83 - Travel goods, handbags and similar containers"
2,24,23.4144093064202,24 - Cork and wood
2,63,33.1440658968005,"63 - Cork and wood, cork manufactures (excluding furniture)"
2,64,67.5870839871186,"64 - Paper, paperboard, and articles of pulp, of paper or of paperboard"
2,65,94.0670622655061,"65 - Textile yarn, fabrics, made-up articles, n.e.s., and related products"
2,25,9.88214323400716,25 - Pulp and waste paper
2,77,277.206308778773,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
2,85,29.6055934593466,85 - Footwear
2,81,20.1423024326159,"81 - Sanitary, plumbing, heating, lighting fixtures and fittings, n.e.s."
