hs6,dimension,score,sitc2,sitc2_label
848320,2,0.161026454299023,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848330,2,1.23089376919204,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848340,2,4.26770199571276,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848350,2,1.72126576517162,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848360,2,0.625307208097897,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848390,2,2.44426565787762,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848410,2,0.468987334972902,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848420,2,0.229460923699928,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848490,2,0.261211171418305,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848610,2,0.0216471033919076,72,72 - Machinery specialized for particular industries
848620,2,2.22044604925031e-16,72,72 - Machinery specialized for particular industries
848630,2,2.22044604925031e-16,72,72 - Machinery specialized for particular industries
848640,2,0.0682985424137525,72,72 - Machinery specialized for particular industries
848690,2,0.126140531960094,72,72 - Machinery specialized for particular industries
848710,2,0.0424064935067728,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
848790,2,1.2261054085164,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
850110,2,1.70395484658762,71,71 - Power generating machinery and equipment
850120,2,0.959250540248152,71,71 - Power generating machinery and equipment
850131,2,1.2914394847852,71,71 - Power generating machinery and equipment
850132,2,0.951587074741745,71,71 - Power generating machinery and equipment
850133,2,0.0927861221127572,71,71 - Power generating machinery and equipment
850134,2,0.0454034962936943,71,71 - Power generating machinery and equipment
850140,2,1.09963112215421,71,71 - Power generating machinery and equipment
850151,2,0.769470191761169,71,71 - Power generating machinery and equipment
850152,2,2.66094965483782,71,71 - Power generating machinery and equipment
850153,2,0.868109715021443,71,71 - Power generating machinery and equipment
850161,2,0.271111586182889,71,71 - Power generating machinery and equipment
850162,2,0.104696380741599,71,71 - Power generating machinery and equipment
850163,2,0.143667865025881,71,71 - Power generating machinery and equipment
