hs6,dimension,score,sitc2,sitc2_label
30221,1,0.00124310305495878,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30222,1,0.0052754048184405,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30223,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30229,1,0.00367954433653397,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30231,1,0.000803421220998686,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30232,1,0.00041612227191926,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30233,1,5.29812730925427e-05,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30234,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30235,1,0.00211861017484874,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30236,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30239,1,0.00105934820390687,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30240,1,2.22044604925031e-16,,
30250,1,0.012007739540202,,
30261,1,0.00149351808501647,,
30262,1,2.22044604925031e-16,,
30263,1,0.00116051461138945,,
30264,1,0.00428649660231615,,
30265,1,0.0136387791210645,,
30266,1,0.000286851021728777,,
30267,1,0.000516822962828434,,
30268,1,0.000134078248192984,,
30269,1,2.22044604925031e-16,,
30270,1,2.62547377767059e-16,,
30311,1,0.022558802373178,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30319,1,0.00659782156565874,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30321,1,0.0460666442872803,,
30322,1,0.00901741076848987,,
30329,1,0.00188786103392128,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30331,1,0.0106895286110387,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30332,1,0.00389789539360214,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30333,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30339,1,0.0108175920442027,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30341,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30342,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30343,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30344,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30345,1,0.000286630674241513,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30346,1,2.22044604925031e-16,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30349,1,0.000485567619018155,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30351,1,6.52702077506016e-15,03,"03 - Fish, crustacean and molluscs, and preparations thereof"
30352,1,2.22044604925031e-16,,
30361,1,2.22044604925031e-16,,
30362,1,0.00110605205520993,,
30371,1,2.22044604925031e-16,,
30372,1,0.0134119220045833,,
30373,1,0.00343195368892433,,
30374,1,0.133429847570813,,
30375,1,1.25118776057268e-10,,
30376,1,0.00548839784231849,,
30377,1,2.22044604925031e-16,,
30378,1,2.22044604925031e-16,,
30379,1,2.22044604925031e-16,,
30380,1,2.22044604925031e-16,,
30411,1,0.0019754641154865,,
30412,1,0.0059867949126219,,
30419,1,0.112528396404763,,
30421,1,0.000552269785402854,,
30422,1,0.000916063904193884,,
30429,1,0.860973746666244,,
